Brand,Model,Year,Category,Rating,displacement_cc,power_hp,torque_nm,engine_cyl,engine_stroke,Gearbox,bore_mm,stroke_mm,fuel_cap_lts,fuel_control,cooling,trans_type,dry_weight_kg,wheelbase_mm,seat_height_mm,front_tire,rear_tire,trevors_fav
Kawasaki,z1000r edition,2020,Naked Bike,3.7,1043,142,111,In-Line Four,Four-Stroke,6-Speed,77,56,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1435,815,120/70-ZR17,190/50-ZR17,No
Kawasaki,z125,2020,Naked Bike,NA,125,14.8,11.7,Single Cylinder,Four-Stroke,NA,58,47.2,11,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1176,815,100/80-17,130/70-17,No
Kawasaki,z400,2020,Naked Bike,3.1,399,45,38,Twin,Four-Stroke,6-Speed,70,51.8,14,Overhead Cams (Ohc),Air,Chain,167,1369,785,110/70-17M,150/60-17M,No
Kawasaki,z650,2020,Naked Bike,3.6,649,67.3,65.7,Twin,Four-Stroke,6-Speed,83,60,15.14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1410,790,120/70-ZR17,160/60-ZR17,No
Kawasaki,z650l,2020,Naked Bike,NA,649,50.7,59,Twin,Four-Stroke,6-Speed,83,60,15,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1410,790,120/70-ZR17,160/60-ZR17,No
Kawasaki,z900,2020,Naked Bike,3.6,948,NA,99.1,In-Line Four,Four-Stroke,6-Speed,73.4,56,17.03,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1455,800,120/70-ZR17,180/55-ZR17,No
Kawasaki,z900rs,2020,Classic,3.9,948,110,98.5,In-Line Four,Four-Stroke,6-Speed,73.4,56,17.03,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1470,836,120/70-ZR17,180/55-ZR17,No
Kawasaki,z900rs black edition,2020,Allround,NA,948,110,98.5,In-Line Four,Four-Stroke,6-Speed,73.4,56,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1470,835,120/70-ZR17,180/55-ZR17,No
Kawasaki,z900rs cafe,2020,Classic,3.7,948,110,98.5,In-Line Four,Four-Stroke,6-Speed,73.4,56,17.03,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1470,836,120/70-ZR17,180/55-ZR17,No
Kawasaki,zzr1400,2020,Sport,NA,1441,200,158,In-Line Four,Four-Stroke,6-Speed,84,65,22,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1480,800,120/70-ZR17,190/50-ZR17,No
Kawasaki,zzr1400 performance sport,2020,Sport,NA,1441,200,158,In-Line Four,Four-Stroke,6-Speed,84,65,22,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1480,800,120/70-ZR17,190/50-ZR17,No
Ktm,125 duke,2020,Naked Bike,2.6,125,15,12,Single Cylinder,Four-Stroke,6-Speed,58,47.2,13.4,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,139,1357,830,110-17,150-17,No
Ktm,125 sx,2020,Enduro / Offroad,NA,124.8,15,NA,Single Cylinder,Two-Stroke,6-Speed,54,54.5,NA,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,137,NA,NA,110-17,150-17,No
Ktm,1290 super adventure r,2020,Allround,3.4,1301,158,140,V2,Four-Stroke,6-Speed,108,71,23,NA,Liquid,Chain,217,1580,890,90/90-21,150/70-18,Yes
Ktm,1290 super adventure s,2020,Allround,3.5,1301,160,140,V2,Four-Stroke,6-Speed,108,71,23,NA,Liquid,Chain,215,1580,860,120/70-ZR19,170/60-ZR17,No
